epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,625.244,0.97464,1.04087,1.42156,0.82276,0.78572,0.84452,0.54519,1.36691,1.02054,1.86014,0.000175019,0.000175019,0.000175019
63,635.371,0.99656,1.04148,1.43034,0.77391,0.79882,0.83804,0.5441,1.38166,1.03159,1.88589,0.000166183,0.000166183,0.000166183
64,645.596,0.99541,1.03467,1.4365,0.75474,0.84334,0.87057,0.56409,1.33861,0.95975,1.85,0.000157348,0.000157348,0.000157348
65,655.774,0.96012,1.04096,1.42796,0.84636,0.79726,0.87661,0.57067,1.30117,0.96145,1.78106,0.000148512,0.000148512,0.000148512
66,666.026,0.95608,1.02879,1.41939,0.75058,0.84669,0.85525,0.54841,1.31215,0.97099,1.802,0.000139676,0.000139676,0.000139676
67,676.191,0.96483,1.00445,1.41207,0.77912,0.85328,0.87237,0.56701,1.3368,0.94696,1.81647,0.000130841,0.000130841,0.000130841
68,686.38,0.97405,0.99698,1.40173,0.76319,0.83365,0.85605,0.56408,1.31894,0.98227,1.82517,0.000122005,0.000122005,0.000122005
69,696.557,0.96291,1.00942,1.42035,0.77591,0.8446,0.86296,0.56451,1.32518,0.95773,1.80087,0.000113169,0.000113169,0.000113169
70,706.631,0.94848,0.95895,1.40858,0.81573,0.80193,0.86352,0.56273,1.34086,0.93271,1.85043,0.000104333,0.000104333,0.000104333
71,748.214,0.81424,0.80933,1.44886,0.72748,0.84691,0.8465,0.54383,1.36992,1.05131,1.87233,9.54975e-05,9.54975e-05,9.54975e-05
72,758.529,0.81928,0.75554,1.45054,0.77221,0.83096,0.84308,0.54158,1.354,1.04672,1.86755,8.66618e-05,8.66618e-05,8.66618e-05
73,768.376,0.84003,0.72695,1.46921,0.79413,0.80485,0.84444,0.55139,1.33582,1.01701,1.8367,7.7826e-05,7.7826e-05,7.7826e-05
74,778.272,0.79748,0.70038,1.4279,0.74651,0.83194,0.843,0.54743,1.32934,1.04376,1.84078,6.89903e-05,6.89903e-05,6.89903e-05
75,788.238,0.80324,0.74286,1.42162,0.80701,0.81302,0.85713,0.56072,1.31688,1.00397,1.83081,6.01545e-05,6.01545e-05,6.01545e-05
76,798.176,0.78402,0.70201,1.40943,0.79936,0.77816,0.84076,0.53661,1.37024,1.04739,1.90338,5.13187e-05,5.13187e-05,5.13187e-05
77,807.955,0.80123,0.71373,1.42484,0.76875,0.84847,0.85513,0.564,1.3187,0.9701,1.83089,4.2483e-05,4.2483e-05,4.2483e-05
78,817.973,0.78516,0.68839,1.41326,0.80965,0.7849,0.84794,0.54768,1.32698,1.00191,1.84154,3.36472e-05,3.36472e-05,3.36472e-05
79,828.283,0.77478,0.68962,1.41158,0.82486,0.74437,0.84101,0.55561,1.32528,1.01664,1.83135,2.48115e-05,2.48115e-05,2.48115e-05
80,838.423,0.77827,0.6964,1.39343,0.82886,0.76788,0.85533,0.55341,1.33601,1.0157,1.84775,1.59757e-05,1.59757e-05,1.59757e-05
